"rules";"support";"confidence";"lift"
"{nutmeg} => {cinnamon}";0.0235616915639563;0.580005360493165;6.23478608721141
"{chocolate,eggs,sugar} => {vanilla}";0.0239863246374287;0.682043343653251;5.04035957953727
"{chocolate,flour,sugar} => {vanilla}";0.0208505727102478;0.677396533427662;5.00601924815981
"{chocolate,flour} => {vanilla}";0.0213405339488698;0.668257756563246;4.93848289296707
"{chocolate,salt} => {vanilla}";0.0200884107835025;0.661527429186088;4.88874518878074
"{chocolate,eggs} => {vanilla}";0.0253691041330953;0.64400221116639;4.75923230466414
"{butter,eggs,flour,salt,sugar} => {vanilla}";0.0286681764731501;0.614612511671335;4.54203987141472
"{butter,eggs,flour,sugar} => {vanilla}";0.0415596010626715;0.61003675883011;4.50822466028264
"{butter,eggs,salt,sugar} => {vanilla}";0.0312595270240843;0.607105096214845;4.48655941879274
"{butter,eggs,milk,sugar} => {vanilla}";0.0223313444536388;0.602349486049927;4.45141504640887
